country,geo,year,lci_yoy_construction_F_pct,lci_yoy_comparator_B-S_pct,differential_pp,quarters_F,quarters_BS
France,FR,2022,3.66,3.77,-0.11,4,4
France,FR,2023,3.51,3.90,-0.39,4,4
France,FR,2024,3.27,3.29,-0.02,4,4
France,FR,2025,0.82,0.52,0.30,3,3
France,FR,AVG_2021_2025,,,-0.38,,
Germany,DE,2021,3.15,1.22,1.93,4,4
Germany,DE,2022,7.64,5.71,1.93,4,4
Germany,DE,2023,3.96,4.21,-0.24,4,4
Germany,DE,2024,5.81,4.91,0.90,4,4
Germany,DE,2025,1.42,1.79,-0.37,3,3
Germany,DE,AVG_2021_2025,,,0.83,,
Greece,EL,2021,-3.22,-0.70,-2.52,4,4
Greece,EL,2022,9.25,4.08,5.17,4,4
Greece,EL,2023,8.84,6.00,2.84,4,4
Greece,EL,2024,9.95,5.84,4.11,4,4
Greece,EL,2025,3.70,4.79,-1.09,3,3
Greece,EL,AVG_2021_2025,,,1.70,,
Hungary,HU,2021,7.60,7.20,0.40,4,4
Hungary,HU,2022,15.31,15.04,0.27,4,4
Hungary,HU,2023,17.05,15.26,1.78,4,4
Hungary,HU,2024,13.91,12.50,1.41,4,4
Hungary,HU,2025,5.24,5.92,-0.68,3,3
Hungary,HU,AVG_2021_2025,,,0.64,,
Ireland,IE,2021,,3.60,,0,4
Ireland,IE,2022,,9.10,,0,4
Ireland,IE,2023,,5.71,,0,4
Ireland,IE,2024,,5.73,,0,4
Ireland,IE,2025,,3.94,,0,3
Ireland,IE,AVG_2021_2025,,,,,
Italy,IT,2021,-0.00,-0.78,0.78,4,4
Italy,IT,2022,3.68,1.36,2.31,4,4
Italy,IT,2023,3.83,2.44,1.40,4,4
Italy,IT,2024,5.27,3.32,1.95,4,4
Italy,IT,2025,3.27,-0.92,4.20,3,3
Italy,IT,AVG_2021_2025,,,2.13,,
Latvia,LV,2021,-0.58,5.85,-6.43,4,4
Latvia,LV,2022,4.95,7.84,-2.89,4,4
Latvia,LV,2023,7.64,11.41,-3.77,4,4
Latvia,LV,2024,13.96,11.87,2.08,4,4
Latvia,LV,2025,6.48,6.48,0.00,3,3
Latvia,LV,AVG_2021_2025,,,-2.20,,
Lithuania,LT,2021,13.47,12.00,1.47,4,4
Lithuania,LT,2022,9.96,13.17,-3.21,4,4
Lithuania,LT,2023,16.53,12.35,4.18,4,4
Lithuania,LT,2024,12.72,10.76,1.96,4,4
Lithuania,LT,2025,6.33,8.33,-2.00,3,3
Lithuania,LT,AVG_2021_2025,,,0.48,,
Luxembourg,LU,2021,1.32,2.12,-0.80,4,4
Luxembourg,LU,2022,5.38,5.04,0.34,4,4
Luxembourg,LU,2023,6.86,6.69,0.17,4,4
Luxembourg,LU,2024,3.07,1.97,1.10,4,4
Luxembourg,LU,2025,0.68,0.20,0.48,3,3
Luxembourg,LU,AVG_2021_2025,,,0.26,,
Malta,MT,2021,5.35,4.37,0.97,4,4
Malta,MT,2022,2.18,7.62,-5.43,4,4
Malta,MT,2023,3.88,4.52,-0.64,4,4
Malta,MT,2024,2.28,4.43,-2.15,4,4
Malta,MT,2025,-1.73,-0.35,-1.37,3,3
Malta,MT,AVG_2021_2025,,,-1.72,,
Netherlands,NL,2021,-1.98,1.37,-3.35,4,4
Netherlands,NL,2022,4.11,5.70,-1.59,4,4
Netherlands,NL,2023,5.22,6.58,-1.36,4,4
Netherlands,NL,2024,5.45,5.54,-0.09,4,4
Netherlands,NL,2025,,5.76,,2,3
Netherlands,NL,AVG_2021_2025,,,-1.60,,
Poland,PL,2021,7.38,8.18,-0.80,4,4
Poland,PL,2022,11.02,11.58,-0.57,4,4
Poland,PL,2023,8.35,12.51,-4.16,4,4
Poland,PL,2024,13.77,13.09,0.67,4,4
